id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;jumlah_lowongan_kerja;satuan;tahun
134;32;JAWA BARAT;3278;KOTA TASIKMALAYA;469;LOWONGAN KERJA;2022
135;32;JAWA BARAT;3279;KOTA BANJAR;2560;LOWONGAN KERJA;2022
136;32;JAWA BARAT;3201;KABUPATEN BOGOR;1098;LOWONGAN KERJA;2023
137;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;6886;LOWONGAN KERJA;2023
138;32;JAWA BARAT;3203;KABUPATEN CIANJUR;8501;LOWONGAN KERJA;2023
139;32;JAWA BARAT;3204;KABUPATEN BANDUNG;13353;LOWONGAN KERJA;2023
140;32;JAWA BARAT;3205;KABUPATEN GARUT;11265;LOWONGAN KERJA;2023
141;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1725;LOWONGAN KERJA;2023
142;42;JAWA BARAT;3207;KABUPATEN CIAMIS;9197;LOWONGAN KERJA;2023
143;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;12032;LOWONGAN KERJA;2023
144;32;JAWA BARAT;3209;KABUPATEN CIREBON;21122;LOWONGAN KERJA;2023
145;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;3208;LOWONGAN KERJA;2023
146;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;5905;LOWONGAN KERJA;2023
147;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;8351;LOWONGAN KERJA;2023
148;32;JAWA BARAT;3213;KABUPATEN SUBANG;8745;LOWONGAN KERJA;2023
149;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;1811;LOWONGAN KERJA;2023
150;32;JAWA BARAT;3215;KABUPATEN KARAWANG;9790;LOWONGAN KERJA;2023
151;32;JAWA BARAT;3216;KABUPATEN BEKASI;2293;LOWONGAN KERJA;2023
152;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;132;LOWONGAN KERJA;2023
153;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2160;LOWONGAN KERJA;2023
154;32;JAWA BARAT;3271;KOTA BOGOR;2939;LOWONGAN KERJA;2023
155;32;JAWA BARAT;3272;KOTA SUKABUMI;1392;LOWONGAN KERJA;2023
156;32;JAWA BARAT;3273;KOTA BANDUNG;13013;LOWONGAN KERJA;2023
157;32;JAWA BARAT;3274;KOTA CIREBON;1845;LOWONGAN KERJA;2023
158;32;JAWA BARAT;3275;KOTA BEKASI;10879;LOWONGAN KERJA;2023
159;32;JAWA BARAT;3276;KOTA DEPOK;5994;LOWONGAN KERJA;2023
160;32;JAWA BARAT;3277;KOTA CIMAHI;2340;LOWONGAN KERJA;2023
161;32;JAWA BARAT;3278;KOTA TASIKMALAYA;469;LOWONGAN KERJA;2023
162;32;JAWA BARAT;3279;KOTA BANJAR;2560;LOWONGAN KERJA;2023
