id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;pendidikan;jumlah_pengangguran;satuan;tahun
1023;32;JAWA BARAT;3204;KABUPATEN BANDUNG;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;16180;ORANG;2020
1024;32;JAWA BARAT;3205;KABUPATEN GARUT;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;2583;ORANG;2020
1025;32;JAWA BARAT;3205;KABUPATEN GARUT;SD;27867;ORANG;2020
1026;32;JAWA BARAT;3205;KABUPATEN GARUT;SMP;26971;ORANG;2020
1027;32;JAWA BARAT;3205;KABUPATEN GARUT;SMA (UMUM);33567;ORANG;2020
1028;32;JAWA BARAT;3205;KABUPATEN GARUT;SMA (KEJURUAN);10192;ORANG;2020
1029;32;JAWA BARAT;3205;KABUPATEN GARUT;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;2427;ORANG;2020
1030;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;0;ORANG;2020
1031;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;SD;21857;ORANG;2020
1032;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;SMP;13148;ORANG;2020
1033;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;SMA (UMUM);13434;ORANG;2020
1034;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;SMA (KEJURUAN);14370;ORANG;2020
1035;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;4481;ORANG;2020
1036;32;JAWA BARAT;3207;KABUPATEN CIAMIS;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;1011;ORANG;2020
1037;32;JAWA BARAT;3207;KABUPATEN CIAMIS;SD;12144;ORANG;2020
1038;32;JAWA BARAT;3207;KABUPATEN CIAMIS;SMP;7237;ORANG;2020
1039;32;JAWA BARAT;3207;KABUPATEN CIAMIS;SMA (UMUM);5661;ORANG;2020
1040;32;JAWA BARAT;3207;KABUPATEN CIAMIS;SMA (KEJURUAN);10258;ORANG;2020
1041;32;JAWA BARAT;3207;KABUPATEN CIAMIS;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;2114;ORANG;2020
1042;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;1669;ORANG;2020
1043;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;SD;19666;ORANG;2020
1044;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;SMP;11372;ORANG;2020
1045;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;SMA (UMUM);9690;ORANG;2020
1046;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;SMA (KEJURUAN);12077;ORANG;2020
1047;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;4039;ORANG;2020
1048;32;JAWA BARAT;3209;KABUPATEN CIREBON;TIDAK/BELUM PERNAH SEKOLAH/TIDAK/BELUM TAMAT SD;9324;ORANG;2020
1049;32;JAWA BARAT;3209;KABUPATEN CIREBON;SD;20555;ORANG;2020
1050;32;JAWA BARAT;3209;KABUPATEN CIREBON;SMP;22801;ORANG;2020
1051;32;JAWA BARAT;3209;KABUPATEN CIREBON;SMA (UMUM);27117;ORANG;2020
1052;32;JAWA BARAT;3209;KABUPATEN CIREBON;SMA (KEJURUAN);40591;ORANG;2020
1053;32;JAWA BARAT;3209;KABUPATEN CIREBON;DIPLOMA I/II/III/AKADEMI/UNIVERSITAS;1757;ORANG;2020
