id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;garis_kemiskinan;satuan;tahun
531;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;447242;RUPIAH/KAPITA/BULAN;2023
532;32;JAWA BARAT;3271;KOTA BOGOR;661384;RUPIAH/KAPITA/BULAN;2023
533;32;JAWA BARAT;3272;KOTA SUKABUMI;644276;RUPIAH/KAPITA/BULAN;2023
534;32;JAWA BARAT;3273;KOTA BANDUNG;591124;RUPIAH/KAPITA/BULAN;2023
535;32;JAWA BARAT;3274;KOTA CIREBON;520579;RUPIAH/KAPITA/BULAN;2023
536;32;JAWA BARAT;3275;KOTA BEKASI;795965;RUPIAH/KAPITA/BULAN;2023
537;32;JAWA BARAT;3276;KOTA DEPOK;804984;RUPIAH/KAPITA/BULAN;2023
538;32;JAWA BARAT;3277;KOTA CIMAHI;590197;RUPIAH/KAPITA/BULAN;2023
539;32;JAWA BARAT;3278;KOTA TASIKMALAYA;537497;RUPIAH/KAPITA/BULAN;2023
540;32;JAWA BARAT;3279;KOTA BANJAR;408710;RUPIAH/KAPITA/BULAN;2023
